product_category_name_english,total_revenue,total_orders,units_sold,revenue_contribution_pct,category_rank
Agro Industry And Commerce,72530.47,182,212,0.5336401659793364,30.0
Air Conditioning,55024.96,253,297,0.4048440439915299,34.0
Art,24202.64,202,209,0.17807000046653668,45.0
Arts And Craftmanship,1814.01,23,24,0.013346509370312584,67.0
Audio,50688.5,350,364,0.37293870497797116,35.0
Auto,592720.11,3897,4235,4.360915596985522,9.0
Baby,411764.89,2885,3065,3.0295444692977056,12.0
Bed Bath Table,1036988.68,9417,11115,7.629604651864145,3.0
Books General Interest,46856.88,512,553,0.3447477070047091,37.0
Books Imported,4639.85,53,60,0.03413751936419582,60.0
Books Technical,19096.06,260,267,0.14049853293314335,50.0
Cds Dvds Musicals,730.0,12,14,0.0053709471504171345,72.0
Christmas Supplies,8800.82,128,153,0.06475169739771798,55.0
Cine Photo,6933.46,65,72,0.05101266743771396,57.0
Computers,222963.13,181,203,1.6404427229062812,17.0
Computers Accessories,911954.32,6689,7827,6.709669118239173,5.0
Consoles Games,157465.22,1062,1137,1.1585443488339826,23.0
Construction Tools Construction,144677.59,748,929,1.0644598489585186,25.0
Construction Tools Lights,41080.0,244,304,0.30224453279333685,39.0
Construction Tools Safety,40544.52,167,194,0.29830475912195964,40.0
Cool Stuff,635290.85,3632,3796,4.674128192456958,7.0
Costruction Tools Garden,25715.89,194,238,0.1892036796108774,44.0
Costruction Tools Tools,15903.95,97,103,0.11701270538750218,51.0
Diapers And Hygiene,1567.59,27,39,0.011533483621263555,68.0
Drinks,22428.7,297,379,0.16501830459254904,47.0
Dvds Blu Ray,5999.39,59,64,0.04414028304759049,59.0
Electronics,160246.74,2550,2767,1.1790092761186788,22.0
Fashio Female Clothing,2803.64,39,48,0.020627674340815746,64.0
Fashion Bags Accessories,152823.54,1864,2031,1.1243933653146014,24.0
Fashion Childrens Clothes,569.85,8,8,0.004192649635157814,73.0
Fashion Male Clothing,10797.82,112,132,0.07944454871194129,53.0
Fashion Shoes,23562.77,240,262,0.1733621813526498,46.0
Fashion Sport,2119.51,27,30,0.015594213965452908,65.0
Fashion Underwear Beach,9541.55,121,131,0.07020159011378439,54.0
Fixed Telephony,59583.0,217,264,0.43837964940178653,32.0
Flowers,1110.04,29,33,0.008167076951847995,70.0
Food,29393.41,450,510,0.21626089271307192,42.0
Food Drink,15179.48,227,278,0.11168244500111492,52.0
Furniture Bedroom,20028.78,95,109,0.14736098474976944,49.0
Furniture Decor,729762.49,6449,8334,5.369199679653168,6.0
Furniture Living Room,68916.56,422,503,0.507050961025413,31.0
Furniture Mattress And Upholstery,4368.08,38,38,0.03213798195725216,62.0
Garden Tools,485256.46,3518,4347,3.5702558918609677,10.0
Health Beauty,1258681.34,8836,9670,9.260699940214003,1.0
Home Appliances,80171.53,764,771,0.58985897342203,29.0
Home Appliances 2,113317.74,234,238,0.8337309489653558,27.0
Home Comfort 2,760.27,24,30,0.0055936575206131985,71.0
Home Confort,58572.04,397,434,0.4309415497700253,33.0
Home Construction,83088.12,490,604,0.6113176730787903,28.0
Housewares,632248.66,5884,6964,4.651745395591853,8.0
Industry Commerce And Business,39669.61,235,268,0.2918676421748755,41.0
Kitchen Dining Laundry Garden Furniture,46328.37,248,281,0.3408592148424256,38.0
La Cuisine,2054.99,13,14,0.015119510526898229,66.0
Luggage Accessories,140429.98,1034,1092,1.0332082204303223,26.0
Market Place,28378.47,280,311,0.20879351038314817,43.0
Music,6034.35,38,38,0.04439749991386252,58.0
Musical Instruments,191498.88,628,680,1.4089457038959903,19.0
Office Furniture,273960.7,1273,1691,2.015655398618197,15.0
Party Supplies,4485.18,39,43,0.03299954073987387,61.0
Pc Gamer,1545.95,8,9,0.011374268146832013,69.0
Perfumery,399124.87,3162,3419,2.9365460043659035,13.0
Pet Shop,214315.41,1710,1947,1.5768174529177807,18.0
Portateis Cozinha E Preparadores De Alimentos,3968.5299999999997,14,15,0.02919830807513002,63.0
Security And Services,283.28999999999996,2,2,0.0020842953674543425,74.0
Signaling And Security,21509.23,140,199,0.1582533391454339,48.0
Small Appliances,190648.58,630,679,1.4026896540850315,20.0
Small Appliances Home Oven And Coffee,47445.71,75,76,0.34908000126577776,36.0
Sports Leisure,988048.97,7720,8641,7.269532602594637,4.0
Stationery,230943.23,2311,2517,1.6991560042145601,16.0
Tablets Printing Image,7528.41,79,83,0.05538998936530392,56.0
Telephony,323667.52999999997,4199,4545,2.3813715040219896,14.0
Toys,483946.6,3886,4117,3.560618646882275,11.0
Unknown,179535.28,1451,1603,1.3209239733086882,21.0
Watches Gifts,1205005.68,5624,5991,8.865783319496522,2.0
